Name;B1;B11;B12;B2;B3;B4;B5;B6;B7;B8;B8A;B9;real;ppn;svm;tree;lr;forest;knn;ac;k_means
pin_1237;0.0118;0.0045;0.0033;0.0054;0.0059;0.0077;0.0075;0.0037;0.0043;0.0042;0.0052;0.0021;10;6;10;10;10;10;10;10;10
pin_2;0.0981;0.2458;0.2503;0.1852;0.2006;0.2156;0.2141;0.2207;0.2159;0.2232;0.2193;0.2461;1;1;1;1;1;1;1;5;1
pin_536;0.018;0.1525;0.0711;0.0159;0.046;0.0178;0.0897;0.267;0.2851;0.2866;0.3064;0.3156;4;4;4;4;4;4;4;4;4
pin_1032;0.051;0.2157;0.169;0.0518;0.0735;0.0857;0.1301;0.2043;0.2325;0.2374;0.249;0.254;9;9;9;9;9;9;9;9;9
pin_584;0.0179;0.1495;0.0691;0.0151;0.0425;0.016;0.0839;0.2529;0.2922;0.2998;0.3131;0.3182;4;4;4;4;4;4;4;4;4
pin_359;0.0214;0.1345;0.081;0.0209;0.0383;0.036;0.0696;0.1333;0.1492;0.1524;0.1684;0.1729;3;3;3;3;3;3;3;3;3
pin_1118;0.0532;0.2519;0.2018;0.0575;0.0794;0.1001;0.1589;0.2097;0.228;0.245;0.2712;0.2527;9;9;9;9;9;9;9;9;9
pin_729;0.043;0.2468;0.2169;0.1166;0.1584;0.1968;0.2142;0.2143;0.2043;0.2396;0.2021;0.143;5;5;5;5;5;5;5;5;5
pin_59;0.1611;0.3075;0.2997;0.2934;0.298;0.334;0.3128;0.3046;0.3147;0.3328;0.3029;0.26;1;1;1;1;1;1;1;1;1
pin_752;0.0246;0.4208;0.3304;0.0306;0.0455;0.0855;0.1079;0.1274;0.1503;0.1848;0.2038;0.2027;6;6;6;6;6;6;6;6;6
pin_1206;0.0119;0.0029;0.0025;0.0069;0.006;0.0071;0.0068;0.0031;0.0015;0.0042;0.0038;0.0021;10;6;10;10;10;10;10;10;10
pin_437;0.0215;0.1292;0.0733;0.0202;0.0365;0.0332;0.0694;0.1361;0.1536;0.1738;0.1743;0.1761;3;3;3;3;3;3;3;3;3
pin_234;0.0091;0.0049;0.0036;0.0059;0.0063;0.0059;0.0048;0.0023;0.0019;0.0032;0.0031;0.0031;2;2;2;2;2;2;2;10;10
pin_1141;0.0398;0.1831;0.1207;0.0368;0.0516;0.0486;0.1051;0.1954;0.2226;0.144;0.2369;0.2719;9;9;9;9;9;9;9;9;9
pin_40;0.1395;0.2432;0.2431;0.15;0.1742;0.2018;0.2134;0.2217;0.2157;0.2176;0.2205;0.2411;1;1;1;1;1;1;1;1;1
pin_478;0.0207;0.1604;0.0724;0.0187;0.0529;0.0218;0.097;0.2748;0.3091;0.331;0.3416;0.3441;4;4;4;4;4;4;4;4;4
pin_1132;0.0536;0.1853;0.143;0.0583;0.0703;0.0824;0.1097;0.1696;0.19;0.1858;0.2047;0.2921;9;9;9;9;9;9;9;9;9
pin_271;0.0093;0.0048;0.0021;0.0065;0.0076;0.0059;0.0052;0.0034;0.0041;0.0033;0.0045;0.0031;2;2;2;2;2;2;2;10;10
pin_1147;0.038;0.1949;0.1369;0.045;0.08;0.0691;0.1163;0.2536;0.2947;0.3526;0.3318;0.3112;9;4;9;9;9;9;9;4;4
pin_1200;0.0119;0.0037;0.0023;0.0056;0.0075;0.0086;0.0066;0.0045;0.0046;0.0061;0.0029;0.0032;10;6;10;10;10;10;10;10;10
pin_1080;0.0485;0.168;0.1195;0.0584;0.0778;0.0974;0.1193;0.2115;0.2269;0.2162;0.2506;0.2834;9;9;9;9;9;9;9;9;9
pin_1024;0.0374;0.179;0.1214;0.0522;0.0719;0.0731;0.1148;0.1657;0.1831;0.1854;0.2126;0.2685;9;9;9;9;9;9;9;9;9
pin_504;0.018;0.1408;0.0652;0.0197;0.0525;0.0206;0.0886;0.2569;0.2815;0.2972;0.3011;0.3084;4;4;4;4;4;4;4;4;4
pin_975;0.0524;0.1472;0.0955;0.029;0.0281;0.0296;0.0818;0.1705;0.181;0.0697;0.1863;0.2295;7;7;7;7;9;7;7;3;3
pin_995;0.0583;0.1063;0.0821;0.0264;0.0342;0.0366;0.0553;0.0698;0.0756;0.0718;0.0793;0.1836;7;7;7;7;7;7;7;3;7
pin_924;0.0366;0.1287;0.1125;0.039;0.0457;0.0499;0.0601;0.0742;0.1004;0.0967;0.0978;0.1399;7;7;7;7;7;7;7;3;7
pin_1128;0.0398;0.2258;0.1694;0.0531;0.0803;0.0805;0.1408;0.2163;0.238;0.2732;0.2614;0.2719;9;9;9;9;9;9;9;9;9
pin_763;0.0249;0.4155;0.3086;0.0305;0.0431;0.0838;0.1075;0.1272;0.152;0.1862;0.2039;0.2066;6;6;6;6;6;6;6;6;6
pin_205;0.0093;0.006;0.0045;0.0065;0.0068;0.0063;0.0043;0.0024;0.0034;0.0032;0.0028;0.0031;2;2;2;2;2;2;2;10;10
pin_993;0.0583;0.1294;0.1153;0.0313;0.0341;0.0374;0.0768;0.1128;0.1117;0.0661;0.1108;0.1836;7;7;7;7;7;7;7;3;7
pin_15;0.0862;0.24;0.2547;0.1676;0.1904;0.2118;0.2292;0.2243;0.2187;0.225;0.2126;0.239;1;1;1;1;1;1;1;5;5
pin_313;0.0229;0.1396;0.08;0.0255;0.0387;0.0364;0.0713;0.1386;0.1583;0.172;0.1733;0.1772;3;3;3;3;3;3;3;3;3
pin_1145;0.038;0.1783;0.12;0.0483;0.0647;0.0634;0.1077;0.1936;0.2104;0.2462;0.2308;0.3112;9;9;9;9;9;9;9;9;9
pin_467;0.0203;0.1603;0.0757;0.0202;0.0595;0.0248;0.1032;0.2794;0.3164;0.3316;0.3511;0.3196;4;4;4;4;4;4;4;4;4
pin_675;0.0661;0.3901;0.391;0.1526;0.2082;0.2512;0.3072;0.3254;0.3156;0.334;0.3279;0.2855;5;5;5;5;5;5;5;5;5
pin_990;0.068;0.1265;0.1077;0.0363;0.0318;0.0385;0.072;0.0803;0.0894;0.058;0.0918;0.1762;7;7;7;7;7;7;7;3;7
pin_1251;0.0109;0.0042;0.0026;0.0051;0.0056;0.0063;0.0065;0.0051;0.0038;0.0042;0.0037;0.0039;10;2;10;10;10;10;10;10;10
pin_125;0.1391;0.2592;0.2691;0.2066;0.222;0.2392;0.2341;0.2267;0.227;0.2458;0.2185;0.2479;1;1;1;1;1;1;1;1;1
pin_620;0.0689;0.353;0.3526;0.1336;0.1852;0.2236;0.277;0.2962;0.2976;0.3176;0.3146;0.2546;5;5;5;5;5;5;5;5;5
pin_941;0.0511;0.1259;0.1265;0.0583;0.0636;0.0758;0.0935;0.1053;0.1016;0.0865;0.1053;0.1019;7;6;7;7;7;7;7;3;7
pin_10;0.0862;0.2384;0.2387;0.1872;0.2082;0.2184;0.202;0.2112;0.2121;0.2238;0.2075;0.239;1;1;1;1;1;1;1;5;1
pin_252;0.0091;0.0048;0.0018;0.007;0.005;0.0057;0.0049;0.0036;0.0042;0.0028;0.0045;0.0031;2;2;2;2;2;2;2;10;10
pin_591;0.0179;0.1543;0.071;0.0161;0.0465;0.0205;0.09;0.2673;0.3072;0.358;0.33;0.3182;4;4;4;4;4;4;4;4;4
pin_793;0.0248;0.4158;0.3174;0.0263;0.0403;0.0787;0.1003;0.1194;0.1445;0.1762;0.1994;0.2018;6;6;6;6;6;6;6;6;6
pin_228;0.0091;0.0058;0.0023;0.0058;0.0053;0.0064;0.0044;0.0022;0.0036;0.0025;0.0031;0.0031;2;2;2;2;2;2;2;10;10
pin_507;0.018;0.1566;0.0777;0.0172;0.0438;0.0201;0.0913;0.2701;0.2876;0.2964;0.314;0.3084;4;4;4;4;4;4;4;4;4
pin_1091;0.0489;0.1783;0.1378;0.0445;0.0678;0.0811;0.1164;0.1874;0.1993;0.2686;0.2045;0.2866;9;9;9;9;9;9;9;9;9
pin_277;0.0091;0.0052;0.0041;0.0061;0.0081;0.0065;0.0051;0.0032;0.0036;0.0031;0.0035;0.0031;2;2;2;2;2;2;2;10;10
pin_566;0.0179;0.1519;0.0721;0.0166;0.0394;0.0169;0.0821;0.2387;0.2675;0.2714;0.2821;0.3182;4;4;4;4;4;4;4;4;4
pin_761;0.0249;0.4275;0.3277;0.0305;0.0433;0.0864;0.1099;0.1309;0.157;0.1896;0.2089;0.2066;6;6;6;6;6;6;6;6;6
pin_216;0.0093;0.005;0.0033;0.0055;0.0059;0.0067;0.0052;0.003;0.0042;0.0033;0.0036;0.0031;2;2;2;2;2;2;2;10;10
pin_1115;0.0532;0.2366;0.1811;0.0457;0.0778;0.081;0.1409;0.2258;0.2557;0.3452;0.2427;0.2527;9;5;9;9;9;9;9;9;9
pin_62;0.1611;0.3626;0.3616;0.2408;0.268;0.2834;0.3576;0.3654;0.3742;0.292;0.3595;0.26;1;1;1;1;1;1;1;1;1
pin_93;0.1618;0.3787;0.3593;0.5308;0.4596;0.5152;0.4431;0.4063;0.3963;0.5528;0.3865;0.2682;1;1;1;1;1;1;1;1;1
pin_963;0.0415;0.1035;0.0856;0.0391;0.0515;0.0507;0.0684;0.0757;0.1034;0.1114;0.0836;0.1075;7;6;7;7;7;7;7;3;7
pin_962;0.0415;0.0748;0.0624;0.0383;0.0459;0.0519;0.0539;0.0831;0.0669;0.0946;0.0817;0.1075;7;7;7;7;7;7;7;3;7
pin_459;0.02;0.1638;0.0782;0.0152;0.0548;0.0218;0.0933;0.2731;0.3091;0.3306;0.3297;0.3195;4;4;4;4;4;4;4;4;4
pin_76;0.1611;0.3698;0.3646;0.289;0.3038;0.344;0.3828;0.3874;0.3598;0.3316;0.3648;0.26;1;1;1;1;1;1;1;1;1
pin_398;0.0214;0.1339;0.0749;0.0215;0.0393;0.0331;0.0691;0.1394;0.1546;0.178;0.1738;0.1729;3;3;3;3;3;3;3;3;3
pin_141;0.1618;0.3255;0.2638;0.1128;0.1318;0.1636;0.2484;0.2884;0.3047;0.2808;0.3133;0.2682;1;1;1;1;1;1;1;1;1
pin_513;0.018;0.1482;0.0689;0.0162;0.0479;0.0178;0.0907;0.2589;0.2909;0.3078;0.3117;0.3156;4;4;4;4;4;4;4;4;4
pin_901;0.0576;0.1138;0.1084;0.0352;0.0404;0.0419;0.0693;0.0799;0.0834;0.0621;0.0912;0.1197;7;7;7;7;7;7;7;3;7
pin_1247;0.0114;0.0037;0.003;0.0043;0.0057;0.0074;0.0066;0.0045;0.0034;0.0044;0.0033;0.0016;10;6;10;10;10;10;10;10;10
pin_462;0.02;0.1641;0.0772;0.0203;0.0576;0.025;0.1003;0.2966;0.331;0.3598;0.3512;0.3195;4;4;4;4;4;4;4;4;4
